id,loss
4,1519.7102
6,2041.191
9,9108.943
12,5986.292
15,811.1279
17,2330.9756
21,2241.857
28,797.0377
32,2450.1594
43,3054.564
46,2468.2073
50,946.4949
54,1283.0255
62,1960.2844
70,2253.7898
71,5051.9507
75,2181.7861
77,2263.7288
81,2698.3596
83,2321.0664
87,1924.3677
97,1434.358
103,1205.645
119,1092.1553
120,1720.8062
127,944.49854
138,4271.5444
141,3645.703
148,577.0488
150,2457.4065
151,2113.567
158,1548.5166
160,6067.2686
165,2597.0874
168,3567.5898
169,3583.1243
177,2729.869
178,3281.2278
184,1911.6469
194,9641.417
198,1743.464
203,3713.409
211,2476.618
217,1214.7233
219,1287.1752
221,4235.842
227,1674.5355
230,1532.9663
235,2276.6755
240,720.5679
243,2942.598
249,6988.6396
253,2824.8955
258,1454.0931
261,1570.7227
263,3580.5044
264,2497.4338
265,4609.6772
268,1649.5762
271,1068.6553
274,5718.117
275,706.5499
279,1504.7606
282,1504.6536
286,3106.3315
288,1184.7903
294,2227.7913
296,1028.2344
297,1404.676
300,799.7319
303,8495.167
314,1106.6268
315,4478.9146
321,2349.502
323,4237.0093
330,3794.5806
341,1836.9283
342,3937.5898
352,1553.2917
353,3562.7822
360,4901.0083
361,2206.1487
362,4059.6853
366,1371.3014
372,3576.5222
376,2546.6777
377,2356.9614
379,1601.0289
380,4037.8118
387,1776.3407
392,1929.9547
394,10265.819
395,1588.7545
397,1550.5662
407,5556.2876
411,8560.162
416,2465.0537
417,1536.0769
419,3645.0806
428,5184.999
431,1732.3373
436,8255.215
438,1539.6599
445,6660.0903
446,6598.67
455,1294.7654
456,1253.1376
461,923.2424
463,1891.731
464,3737.9712
466,1603.411
467,1411.1975
470,1278.2094
475,1477.974
482,3098.6536
490,3495.148
496,1749.1898
497,4235.499
508,2715.2393
510,1821.1373
512,1745.4055
513,3012.8997
523,1815.6947
531,4890.634
532,2218.5706
533,1347.6006
537,1193.1453
544,4645.9595
547,2773.757
556,7300.768
565,1301.0868
566,1173.8365
571,1494.4663
573,1515.0366
574,900.3546
581,1976.5175
585,1978.1459
589,1922.6157
597,1738.1141
601,3430.7476
602,1868.4331
613,1546.4231
616,1482.2942
619,2331.7783
622,2328.2595
623,1798.564
629,1566.8873
634,1514.4393
638,964.97363
642,1105.0603
643,2005.2676
645,977.29407
648,6445.2466
652,1248.2603
664,1103.5438
666,2161.2344
672,881.4834
676,2089.2378
678,3816.3958
682,1795.4955
686,2954.3557
688,2017.8588
689,1292.4028
690,1703.2587
692,9981.642
695,1573.1263
697,4173.513
698,1762.1683
706,2706.8533
708,1482.4757
712,2867.0493
715,4491.4385
717,1407.3511
725,3327.5642
729,1104.8353
737,1360.3807
739,5901.8467
747,3708.2668
753,2540.9272
758,1965.5015
759,2109.8623
763,1456.2456
773,4510.2173
774,2094.7383
776,1545.0743
788,3350.4724
790,2396.735
794,1064.2635
801,2732.7234
802,1537.9232
805,1329.2244
809,5045.0513
812,1683.3412
825,2339.1582
828,2301.965
830,1499.172
833,1292.7788
850,6006.7075
852,6149.1997
862,1509.5194
863,1452.6102
864,1479.5134
865,3364.5896
868,6673.709
872,1493.14
879,5498.2886
880,1438.7661
883,1280.0374
886,1474.8131
923,1753.8818
924,1473.0414
932,1348.9237
945,5940.0293
947,6810.881
948,2051.7546
955,2786.11
963,4106.7485
979,1383.1775
989,1535.8909
994,3091.8406
995,1694.0581
998,1304.0638
1000,3918.5413
1018,1509.0684
1019,1847.8271
1028,1615.5776
1034,1302.4015
1038,1446.4546
1040,1349.1417
1042,1373.7244
1057,6981.619
1058,2109.7354
1063,1021.00006
1066,4771.2954
1071,4263.7583
1073,4321.517
1074,2884.8728
1077,2807.0447
1080,8815.733
1088,881.0321
1096,813.9427
1097,11273.334
1105,5478.995
1115,1862.1776
1116,2978.2214
1122,2444.9473
1130,5359.746
